year,conflict_count
1090.0,1
1137.0,1
1142.0,2
1155.0,1
1160.0,1
1169.0,1
1170.0,1
1173.0,1
1176.0,1
1183.0,1
1199.0,1
1200.0,1
1203.0,2
1207.0,2
1212.0,1
1214.0,1
1215.0,1
1217.0,1
1219.0,1
1220.0,1
1225.0,1
1226.0,1
1227.0,2
1228.0,1
1229.0,2
1230.0,2
1232.0,1
1233.0,5
1234.0,1
1236.0,2
1237.0,3
1238.0,2
1239.0,2
1240.0,2
1241.0,2
1242.0,1
1243.0,3
1244.0,1
1245.0,1
1247.0,3
1248.0,2
1250.0,3
1251.0,4
1252.0,2
1253.0,4
1254.0,1
1255.0,2
1256.0,2
1257.0,5
1260.0,1
1261.0,1
1262.0,1
1263.0,2
1264.0,3
1265.0,2
1266.0,3
1267.0,5
1268.0,2
1269.0,2
1270.0,1
1273.0,1
1274.0,1
1275.0,2
1276.0,3
1278.0,3
1279.0,2
1280.0,3
1281.0,5
1282.0,5
1283.0,5
1284.0,4
1285.0,2
1286.0,1
1287.0,2
1288.0,2
1289.0,4
1290.0,1
1291.0,2
1292.0,2
1293.0,1
1294.0,5
1295.0,5
1296.0,1
1297.0,2
1298.0,2
1299.0,4
1302.0,12
1303.0,7
1304.0,7
1305.0,8
1306.0,10
1307.0,10
1308.0,7
1309.0,2
1310.0,12
1311.0,10
1312.0,2
1313.0,5
1314.0,6
1315.0,8
1316.0,8
1317.0,6
1318.0,3
1319.0,5
1320.0,6
1321.0,3
1322.0,12
1323.0,2
1324.0,6
1325.0,4
1326.0,1
1327.0,13
1328.0,11
1329.0,10
1330.0,6
1331.0,5
1332.0,4
1333.0,7
1334.0,6
1335.0,5
1336.0,3
1337.0,12
1338.0,6
1339.0,8
1340.0,4
1341.0,3
1342.0,4
1343.0,17
1344.0,6
1345.0,9
1346.0,7
1347.0,17
1348.0,10
1349.0,15
1350.0,1
1351.0,5
1352.0,1
1353.0,5
1354.0,11
1355.0,24
1356.0,10
1357.0,19
1358.0,15
1359.0,11
1360.0,11
1361.0,3
1362.0,8
1363.0,6
1364.0,10
1365.0,4
1366.0,4
1367.0,6
1368.0,11
1369.0,7
1370.0,5
1371.0,9
1372.0,2
1373.0,3
1374.0,1
1375.0,15
1376.0,14
1377.0,6
1378.0,17
1379.0,16
1380.0,14
1381.0,11
1382.0,24
1383.0,15
1384.0,14
1385.0,8
1386.0,4
1387.0,7
1388.0,4
1389.0,6
1390.0,17
1391.0,7
1392.0,5
1393.0,7
1394.0,8
1395.0,5
1396.0,4
1397.0,4
1398.0,5
1399.0,6
1400.0,10
1401.0,4
1402.0,13
1403.0,14
1404.0,7
1405.0,16
1406.0,3
1407.0,4
1408.0,8
1409.0,7
1410.0,7
1411.0,4
1412.0,8
1413.0,17
1414.0,11
1415.0,13
1416.0,5
1417.0,2
1418.0,9
1419.0,6
1420.0,1
1421.0,3
1422.0,4
1423.0,7
1424.0,2
1425.0,2
1427.0,1
1431.0,2
1434.0,1
1435.0,1
1436.0,1
1438.0,2
1441.0,1
1443.0,1
1444.0,2
1445.0,3
1448.0,1
1449.0,1
1450.0,1
1451.0,1
1458.0,1
1459.0,1
1461.0,2
1462.0,5
1463.0,1
1465.0,3
1466.0,1
1468.0,4
1469.0,2
1470.0,3
1472.0,1
1474.0,1
1476.0,1
1478.0,6
1479.0,1
1483.0,1
1485.0,1
1487.0,1
1489.0,4
1490.0,1
1491.0,2
1493.0,1
1502.0,5
1506.0,2
1511.0,1
1512.0,4
1513.0,22
1514.0,18
1515.0,5
1517.0,3
1519.0,3
1522.0,2
1523.0,1
1524.0,5
1525.0,1
1529.0,3
1532.0,1
1536.0,1
1537.0,1
1540.0,2
1541.0,1
1545.0,1
1561.0,6
1562.0,22
1563.0,1
1566.0,1
1567.0,6
1568.0,3
1569.0,2
1571.0,1
1572.0,16
1574.0,1
1575.0,1
1576.0,2
1578.0,3
1579.0,3
1581.0,1
1585.0,4
1586.0,9
1587.0,3
1588.0,1
1589.0,1
1591.0,1
1595.0,6
1596.0,4
1597.0,6
1598.0,3
1599.0,3
1600.0,3
1601.0,4
1602.0,5
1603.0,4
1604.0,5
1605.0,6
1606.0,8
1607.0,3
1608.0,7
1609.0,2
1610.0,2
1611.0,4
1612.0,3
1613.0,2
1614.0,6
1615.0,12
1616.0,8
1617.0,5
1618.0,5
1619.0,3
1620.0,2
1621.0,1
1622.0,8
1623.0,9
1624.0,11
1625.0,9
1626.0,12
1627.0,13
1628.0,8
1629.0,20
1630.0,32
1631.0,23
1632.0,8
1633.0,12
1634.0,27
1635.0,44
1636.0,27
1637.0,35
1638.0,22
1639.0,80
1640.0,29
1641.0,17
1642.0,26
1643.0,56
1644.0,26
1645.0,19
1646.0,8
1647.0,6
1648.0,7
1649.0,12
1650.0,14
1651.0,9
1652.0,12
1653.0,13
1654.0,18
1655.0,8
1656.0,33
1657.0,12
1658.0,8
1659.0,17
1660.0,9
1661.0,44
1662.0,65
1663.0,35
1664.0,47
1665.0,46
1666.0,26
1667.0,34
1668.0,49
1669.0,22
1670.0,35
1671.0,22
1672.0,20
1673.0,18
1674.0,26
1675.0,64
1676.0,19
1677.0,9
1678.0,12
1679.0,21
1680.0,24
1681.0,32
1682.0,17
1683.0,16
1684.0,15
1685.0,15
1686.0,15
1687.0,16
1688.0,22
1689.0,15
1690.0,20
1691.0,32
1692.0,40
1693.0,106
1694.0,74
1695.0,36
1696.0,35
1697.0,36
1698.0,53
1699.0,49
1700.0,28
1701.0,42
1702.0,54
1703.0,57
1704.0,57
1705.0,72
1706.0,70
1707.0,81
1708.0,87
1709.0,308
1710.0,88
1711.0,93
1712.0,59
1713.0,65
1714.0,37
1715.0,32
1716.0,35
1717.0,50
1718.0,58
1719.0,84
1720.0,49
1721.0,31
1722.0,60
1723.0,69
1724.0,62
1725.0,69
1726.0,31
1727.0,62
1728.0,48
1729.0,51
1730.0,50
1731.0,55
1732.0,47
1733.0,36
1734.0,31
1735.0,41
1736.0,29
1737.0,42
1738.0,46
1739.0,56
1740.0,130
1741.0,60
1742.0,56
1743.0,75
1744.0,70
1745.0,54
1746.0,70
1747.0,63
1748.0,74
1749.0,80
1750.0,94
1751.0,72
1752.0,93
1753.0,83
1754.0,94
1755.0,79
1756.0,104
1757.0,181
1758.0,67
1759.0,65
1760.0,54
1761.0,56
1762.0,69
1763.0,40
1764.0,102
1765.0,104
1766.0,326
1767.0,77
1768.0,165
1769.0,97
1770.0,145
1771.0,139
1772.0,114
1773.0,138
1774.0,143
1775.0,263
1776.0,105
1777.0,107
1778.0,131
1779.0,115
1780.0,95
1781.0,139
1782.0,131
1783.0,113
1784.0,143
1785.0,126
1786.0,122
1787.0,113
1788.0,202
1789.0,853
1790.0,176
1791.0,117
1792.0,336
1793.0,86
1794.0,54
1795.0,730
1796.0,183
1797.0,5
1798.0,1
1799.0,2
1800.0,61
1801.0,45
1802.0,29
1803.0,51
1804.0,84
1805.0,141
1806.0,134
1807.0,97
1808.0,97
1809.0,92
1810.0,47
1811.0,58
1812.0,110
1813.0,62
1814.0,97
1815.0,77
1816.0,89
1817.0,146
1818.0,54
1819.0,62
1820.0,72
1821.0,66
1822.0,103
1823.0,70
1824.0,54
1825.0,66
1826.0,79
1827.0,52
1828.0,77
1829.0,160
1830.0,1510
1831.0,715
1832.0,355
1833.0,85
1834.0,94
1835.0,96
1836.0,52
1837.0,66
1838.0,47
1839.0,54
1840.0,75
1841.0,72
1842.0,58
1843.0,57
1844.0,55
1845.0,34
1846.0,45
1847.0,299
1848.0,141
1849.0,87
1850.0,97
1851.0,182
1852.0,60
1853.0,38
1854.0,57
1855.0,36
1856.0,15
1857.0,23
1858.0,33
1859.0,17
1860.0,3
1861.0,1
1862.0,2
1863.0,3
1864.0,1
1866.0,2
1867.0,3
1868.0,9
1869.0,3
1870.0,4
1872.0,1
1873.0,1
1874.0,2
1875.0,3
1876.0,3
1877.0,4
1878.0,6
1879.0,9
1880.0,5
1881.0,1
1882.0,7
1883.0,5
1884.0,5
1885.0,1
1886.0,11
1887.0,4
1888.0,4
1889.0,5
1890.0,5
