decade,conflict_count
1090.0,1
1130.0,1
1140.0,2
1150.0,1
1160.0,2
1170.0,3
1180.0,1
1190.0,1
1200.0,5
1210.0,5
1220.0,8
1230.0,18
1240.0,15
1250.0,23
1260.0,22
1270.0,13
1280.0,33
1290.0,25
1300.0,63
1310.0,65
1320.0,68
1330.0,62
1340.0,92
1350.0,102
1360.0,70
1370.0,88
1380.0,107
1390.0,68
1400.0,86
1410.0,82
1420.0,20
1430.0,7
1440.0,9
1450.0,4
1460.0,18
1470.0,13
1480.0,7
1490.0,4
1500.0,7
1510.0,56
1520.0,12
1530.0,3
1540.0,4
1560.0,41
1570.0,27
1580.0,19
1590.0,23
1600.0,47
1610.0,50
1620.0,93
1630.0,310
1640.0,206
1650.0,144
1660.0,377
1670.0,246
1680.0,187
1690.0,481
1700.0,856
1710.0,601
1720.0,532
1730.0,433
1740.0,732
1750.0,932
1760.0,1090
1770.0,1400
1780.0,2037
1790.0,1690
1800.0,831
1810.0,802
1820.0,799
1830.0,3074
1840.0,923
1850.0,558
1860.0,27
1870.0,33
1880.0,48
1890.0,5
